#  Table f275w.UVIS1.fits[1]  Tue 00:11:28 06-Oct-2009

# row      WAVELENGTH      THROUGHPUT
#           angstroms                

    1           1700.              0.
    2           1701.              0.
    3           1702.              0.
    4           1703.              0.
    5           1704.              0.
    6           1705.              0.
    7           1706.              0.
    8           1707.              0.
    9           1708.              0.
   10           1709.              0.
   11           1710.              0.
   12           1711.              0.
   13           1712.              0.
   14           1713.              0.
   15           1714.              0.
   16           1715.              0.
   17           1716.              0.
   18           1717.              0.
   19           1718.              0.
   20           1719.              0.
   21           1720.              0.
   22           1721.              0.
   23           1722.              0.
   24           1723.              0.
   25           1724.              0.
   26           1725.              0.
   27           1726.              0.
   28           1727.              0.
   29           1728.              0.
   30           1729.              0.
   31           1730.              0.
   32           1731.              0.
   33           1732.              0.
   34           1733.              0.
   35           1734.              0.
   36           1735.              0.
   37           1736.              0.
   38           1737.              0.
   39           1738.              0.
   40           1739.              0.
   41           1740.              0.
   42           1741.              0.
   43           1742.              0.
   44           1743.              0.
   45           1744.              0.
   46           1745.              0.
   47           1746.              0.
   48           1747.              0.
   49           1748.              0.
   50           1749.              0.
   51           1750.              0.
   52           1751.              0.
   53           1752.              0.
   54           1753.              0.
   55           1754.              0.
   56           1755.              0.
   57           1756.              0.
   58           1757.              0.
   59           1758.              0.
   60           1759.              0.
   61           1760.              0.
   62           1761.              0.
   63           1762.              0.
   64           1763.              0.
   65           1764.              0.
   66           1765.              0.
   67           1766.              0.
   68           1767.              0.
   69           1768.              0.
   70           1769.              0.
   71           1770.              0.
   72           1771.              0.
   73           1772.              0.
   74           1773.              0.
   75           1774.              0.
   76           1775.              0.
   77           1776.              0.
   78           1777.              0.
   79           1778.              0.
   80           1779.              0.
   81           1780.              0.
   82           1781.              0.
   83           1782.              0.
   84           1783.              0.
   85           1784.              0.
   86           1785.              0.
   87           1786.              0.
   88           1787.              0.
   89           1788.              0.
   90           1789.              0.
   91           1790.              0.
   92           1791.              0.
   93           1792.              0.
   94           1793.              0.
   95           1794.              0.
   96           1795.              0.
   97           1796.              0.
   98           1797.              0.
   99           1798.              0.
  100           1799.              0.
  101           1800.              0.
  102           1801.              0.
  103           1802.              0.
  104           1803.              0.
  105           1804.              0.
  106           1805.              0.
  107           1806.              0.
  108           1807.              0.
  109           1808.              0.
  110           1809.              0.
  111           1810.              0.
  112           1811.              0.
  113           1812.              0.
  114           1813.              0.
  115           1814.              0.
  116           1815.              0.
  117           1816.              0.
  118           1817.              0.
  119           1818.              0.
  120           1819.              0.
  121           1820.              0.
  122           1821.              0.
  123           1822.              0.
  124           1823.              0.
  125           1824.              0.
  126           1825.              0.
  127           1826.              0.
  128           1827.              0.
  129           1828.              0.
  130           1829.              0.
  131           1830.              0.
  132           1831.              0.
  133           1832.              0.
  134           1833.              0.
  135           1834.              0.
  136           1835.              0.
  137           1836.              0.
  138           1837.              0.
  139           1838.              0.
  140           1839.              0.
  141           1840.              0.
  142           1841.              0.
  143           1842.              0.
  144           1843.              0.
  145           1844.              0.
  146           1845.              0.
  147           1846.              0.
  148           1847.              0.
  149           1848.              0.
  150           1849.              0.
  151           1850.              0.
  152           1851.              0.
  153           1852.              0.
  154           1853.              0.
  155           1854.              0.
  156           1855.              0.
  157           1856.              0.
  158           1857.              0.
  159           1858.              0.
  160           1859.              0.
  161           1860.              0.
  162           1861.              0.
  163           1862.              0.
  164           1863.              0.
  165           1864.              0.
  166           1865.              0.
  167           1866.              0.
  168           1867.              0.
  169           1868.              0.
  170           1869.              0.
  171           1870.              0.
  172           1871.              0.
  173           1872.              0.
  174           1873.              0.
  175           1874.              0.
  176           1875.              0.
  177           1876.              0.
  178           1877.              0.
  179           1878.              0.
  180           1879.              0.
  181           1880.              0.
  182           1881.              0.
  183           1882.              0.
  184           1883.              0.
  185           1884.              0.
  186           1885.              0.
  187           1886.              0.
  188           1887.              0.
  189           1888.              0.
  190           1889.              0.
  191           1890.              0.
  192           1891.              0.
  193           1892.              0.
  194           1893.              0.
  195           1894.              0.
  196           1895.              0.
  197           1896.              0.
  198           1897.              0.
  199           1898.              0.
  200           1899.              0.
  201           1900.              0.
  202           1901.              0.
  203           1902.              0.
  204           1903.              0.
  205           1904.              0.
  206           1905.              0.
  207           1906.              0.
  208           1907.              0.
  209           1908.              0.
  210           1909.              0.
  211           1910.              0.
  212           1911.              0.
  213           1912.              0.
  214           1913.              0.
  215           1914.              0.
  216           1915.              0.
  217           1916.              0.
  218           1917.              0.
  219           1918.              0.
  220           1919.              0.
  221           1920.              0.
  222           1921.              0.
  223           1922.              0.
  224           1923.              0.
  225           1924.              0.
  226           1925.              0.
  227           1926.              0.
  228           1927.              0.
  229           1928.              0.
  230           1929.              0.
  231           1930.              0.
  232           1931.              0.
  233           1932.              0.
  234           1933.              0.
  235           1934.              0.
  236           1935.              0.
  237           1936.              0.
  238           1937.              0.
  239           1938.              0.
  240           1939.              0.
  241           1940.              0.
  242           1941.              0.
  243           1942.              0.
  244           1943.              0.
  245           1944.              0.
  246           1945.              0.
  247           1946.              0.
  248           1947.              0.
  249           1948.              0.
  250           1949.              0.
  251           1950.              0.
  252           1951.              0.
  253           1952.              0.
  254           1953.              0.
  255           1954.              0.
  256           1955.              0.
  257           1956.              0.
  258           1957.              0.
  259           1958.              0.
  260           1959.              0.
  261           1960.              0.
  262           1961.              0.
  263           1962.              0.
  264           1963.              0.
  265           1964.              0.
  266           1965.              0.
  267           1966.              0.
  268           1967.              0.
  269           1968.              0.
  270           1969.              0.
  271           1970.              0.
  272           1971.              0.
  273           1972.              0.
  274           1973.              0.
  275           1974.              0.
  276           1975.              0.
  277           1976.              0.
  278           1977.              0.
  279           1978.              0.
  280           1979.              0.
  281           1980.              0.
  282           1981.              0.
  283           1982.              0.
  284           1983.              0.
  285           1984.              0.
  286           1985.              0.
  287           1986.              0.
  288           1987.              0.
  289           1988.              0.
  290           1989.              0.
  291           1990.              0.
  292           1991.              0.
  293           1992.              0.
  294           1993.              0.
  295           1994.              0.
  296           1995.              0.
  297           1996.              0.
  298           1997.              0.
  299           1998.              0.
  300           1999.              0.
  301           2000.     3.161929E-8
  302           2001.     9.005086E-8
  303           2002.     9.035266E-8
  304           2003.     9.065495E-8
  305           2004.     9.095772E-8
  306           2005.     9.126101E-8
  307           2006.     9.156474E-8
  308           2007.     9.186894E-8
  309           2008.     9.217370E-8
  310           2009.     9.247887E-8
  311           2010.     9.278457E-8
  312           2011.     9.309051E-8
  313           2012.     9.339690E-8
  314           2013.     9.370377E-8
  315           2014.     9.401114E-8
  316           2015.     9.431899E-8
  317           2016.     9.462735E-8
  318           2017.     9.493617E-8
  319           2018.     9.524551E-8
  320           2019.     9.555525E-8
  321           2020.     9.586556E-8
  322           2021.     9.722884E-8
  323           2022.     1.005845E-7
  324           2023.     1.039473E-7
  325           2024.     1.073161E-7
  326           2025.     1.106921E-7
  327           2026.     1.140749E-7
  328           2027.     1.174644E-7
  329           2028.     1.208611E-7
  330           2029.     1.242637E-7
  331           2030.     1.276737E-7
  332           2031.     1.311021E-7
  333           2032.     1.345380E-7
  334           2033.     1.379812E-7
  335           2034.     1.414319E-7
  336           2035.     1.448899E-7
  337           2036.     1.483553E-7
  338           2037.     1.518287E-7
  339           2038.     1.553085E-7
  340           2039.     1.587963E-7
  341           2040.     1.622914E-7
  342           2041.     1.662135E-7
  343           2042.     1.709441E-7
  344           2043.     1.756848E-7
  345           2044.     1.804356E-7
  346           2045.     1.851966E-7
  347           2046.     1.899675E-7
  348           2047.     1.947486E-7
  349           2048.     1.995398E-7
  350           2049.     2.043412E-7
  351           2050.     2.091525E-7
  352           2051.     2.140170E-7
  353           2052.     2.188935E-7
  354           2053.     2.237821E-7
  355           2054.     2.286827E-7
  356           2055.     2.335955E-7
  357           2056.     2.385204E-7
  358           2057.     2.434573E-7
  359           2058.     2.484064E-7
  360           2059.     2.533675E-7
  361           2060.     2.583408E-7
  362           2061.     2.696049E-7
  363           2062.     2.930475E-7
  364           2063.     3.165492E-7
  365           2064.     3.401101E-7
  366           2065.     3.637303E-7
  367           2066.     3.874098E-7
  368           2067.     4.111486E-7
  369           2068.     4.349471E-7
  370           2069.     4.588048E-7
  371           2070.     4.827221E-7
  372           2071.     5.066453E-7
  373           2072.     5.306232E-7
