Wave	g	g’	Wave	r	r’	Wave	i	i’	Wave	z	z’	Wave	u	u’	 Wave	v	v’
4000	0.000	0.001	4800	0.000	0.004	6800	0.000	0.002	8100 	0.000	0.003	3000	0.000	0.000	3500	0.000	0.000
4050	0.003	0.004	4850	0.002	0.006	6850	0.001	0.002	8150	0.008	0.006	3050	0.003	0.010	3550	0.009	0.007
4100	0.006	0.007	4900	0.008	0.008	6900	0.003	0.003	8200	0.019	0.015	3100	0.023	0.043	3600	0.121	0.085
4150	0.078	0.087	4950	0.012	0.011	6950	0.015	0.014	8250	0.046	0.035	3150	0.086	0.117	3650	0.370	0.247
4200	0.301	0.326	5000	0.021	0.019	7000	0.087	0.080	8300	0.102	0.078	3200	0.204	0.222	3700	0.648	0.413
4250	0.506	0.537	5050	0.034	0.032	7050	0.262	0.242	8350	0.203	0.153	3250	0.366	0.337	3750	0.879	0.537
4300	0.612	0.637	5100	0.051	0.048	7100	0.480	0.444	8400	0.347	0.261	3300	0.537	0.438	3800	1.000	0.590
4350	0.676	0.692	5150	0.070	0.066	7150	0.633	0.616	8450	0.502	0.383	3350	0.695	0.517	3850	0.996	0.568
4400	0.716	0.722	5200	0.097	0.091	7200	0.707	0.731	8500	0.653	0.508	3400	0.826	0.567	3900	0.873	0.483
4450	0.753	0.748	5250	0.141	0.130	7250	0.777	0.807	8550	0.782	0.620	3450	0.923	0.591	3950	0.664	0.357
4500	0.784	0.768	5300	0.218	0.201	7300	0.851	0.857	8600	0.876	0.710	3500	0.985	0.593	4000	0.421	0.220
4550	0.813	0.786	5350	0.354	0.320	7350	0.934	0.890	8650	0.935	0.778	3550	0.992	0.565	4050	0.234	0.119
4600	0.839	0.803	5400	0.572	0.521	7400	0.980	0.914	8700	0.979	0.837	3600	0.937	0.506	4100	0.107	0.053
4650	0.856	0.813	5450	0.772	0.717	7450	0.993	0.927	8750	0.995	0.876	3650	0.805	0.413	4150	0.039	0.019
4700	0.876	0.827	5500	0.951	0.893	7500	1.000	0.936	8800	1.000	0.909	3700	0.595	0.291	4200	0.015	0.007
4750	0.896	0.839	5550	0.932	0.902	7550	0.936	0.942	8850	0.982	0.927	3750	0.332	0.155	4250	0.000	0.000
4800	0.918	0.854	5600	0.953	0.906	7600	0.709	0.948	8900	0.946	0.944	3800	0.113	0.051	…	…	…
4850	0.939	0.866	5650	0.962	0.926	7650	0.716	0.950	8950	0.845	0.952	3850	0.015	0.006	…	…	…
4900	0.953	0.870	5700	0.926	0.885	7700	0.917	0.946	9000	0.773	0.959	3900	0.000	0.000	…	…	…
4950	0.971	0.880	5750	0.943	0.895	7750	0.959	0.934	9050	0.764	0.968	…	…	…	…	…	…
5000	0.981	0.882	5800	0.947	0.905	7800	0.945	0.920	9100	0.719	0.965	6950	0.000	0.0002	…	…	…
5050	0.990	0.884	5850	0.937	0.895	7850	0.934	0.913	9150	0.699	0.973	7000	0.002	0.0006	…	…	…
5100	0.995	0.883	5900	0.946	0.901	7900	0.927	0.911	9200	0.708	0.974	7050	0.005	0.0014	…	…	…
5150	1.000	0.883	5950	0.947	0.905	7950	0.923	0.916	9250	0.661	0.972	7100	0.010	0.0026	…	…	…
5200	0.997	0.877	6000	0.927	0.891	8000	0.931	0.934	9300	0.493	0.985	7150	0.014	0.0038	…	…	…
5250	0.988	0.865	6050	0.919	0.881	8050	0.929	0.943	9350	0.348	0.980	7200	0.014	0.0042	…	…	…
5300	0.980	0.855	6100	0.898	0.867	8100	0.902	0.951	9400	0.361	0.991	7250	0.011	0.0033	…	…	…
5350	0.960	0.835	6150	0.895	0.858	8150	0.826	0.938	9450	0.350	0.983	7300	0.008	0.0022	…	…	…
5400	0.937	0.811	6200	0.926	0.883	8200	0.784	0.917	9500	0.341	0.979	7350	0.006	0.0016	…	…	…
5450	0.908	0.783	6250	0.945	0.903	8250	0.733	0.854	9550	0.350	0.977	7400	0.002	0.0005	…	…	…
5500	0.874	0.751	6300	0.966	0.919	8300	0.643	0.751	9600	0.368	0.976	7450	0.000	0.0002	…	…	…
5550	0.828	0.710	6350	0.974	0.931	8350	0.565	0.647	9650	0.407	0.986	…	…	…	…	…	…
5600	0.775	0.663	6400	0.947	0.904	8400	0.576	0.627	9700	0.432	0.981	…	…	…	…	…	…
5650	0.719	0.614	6450	0.970	0.909	8450	0.734	0.772	9750	0.424	0.989	…	…	…	…	…	…
5700	0.658	0.561	6500	1.000	0.941	8500	0.554	0.871	9800	0.402	0.990	…	…	…	…	…	…
5750	0.594	0.506	6550	0.928	0.884	8550	0.123	0.216	9850	0.378	0.984	…	…	…	…	…	…
5800	0.524	0.447	6600	0.907	0.835	8600	0.028	0.047	9900	0.355	0.981	…	…	…	…	…	…
5850	0.460	0.392	6650	0.986	0.894	8650	0.009	0.014	9950	0.334	0.980	…	…	…	…	…	…
5900	0.391	0.334	6700	0.990	0.917	8700	0.004	0.006	10000	0.312	0.981	…	…	…	…	…	…
5950	0.329	0.281	6750	0.923	0.853	8750	0.002	0.003	10050	0.291	0.982	…	…	…	…	…	…
6000	0.271	0.232	6800	0.858	0.793	8800	0.000	0.003	10100	0.270	0.981	…	…	…	…	…	…
6050	0.219	0.188	6850	0.782	0.740	…	…	…	10150	0.250	0.987	…	…	…	…	…	…
6100	0.173	0.148	6900	0.849	0.787	…	…	…	10200	0.225	0.977	…	…	…	…	…	…
6150	0.135	0.116	6950	0.631	0.676	…	…	…	10250	0.203	0.975	…	…	…	…	…	…
