#wave   u         
3150  0.000      
3175  0.004      
3200  0.050      
3225  0.122      
3250  0.219      
3275  0.341      
3300  0.479      
3325  0.604      
3350  0.710      
3375  0.809      
3400  0.886      
3425  0.939      
3450  0.976      
3475  1.000      
3500  0.995      
3525  0.981      
3550  0.943      
3575  0.880      
3600  0.782      
3625  0.659      
3650  0.525      
3675  0.370      
3700  0.246      
3725  0.151      
3750  0.071      
3775  0.030      
3800  0.014      
3825  0.000      
3850  0.000      

#wave   v   
3750  0.000
3775  0.003
3800  0.006
3825  0.016
3850  0.029
3875  0.044
3900  0.060
3925  0.096
3950  0.157
3975  0.262
4000  0.404
4025  0.605
4050  0.810
4075  0.958
4100  1.000
4125  0.973
4150  0.882
4175  0.755
4200  0.571
4225  0.366
4250  0.224
4275  0.134
4300  0.079
4325  0.053
4350  0.039
4375  0.027
4400  0.014
4425  0.006
4450  0.000

#wave   b   
4350  0.000
4375  0.010
4400  0.023
4425  0.039
4450  0.056
4475  0.086
4500  0.118
4525  0.188
4550  0.287
4575  0.457
4600  0.681
4625  0.896
4650  0.998
4675  1.000
4700  0.942
4725  0.783
4750  0.558
4775  0.342
4800  0.211
4825  0.130
4850  0.072
4875  0.045
4900  0.027
4925  0.021
4950  0.015
4975  0.011
5000  0.007
5025  0.003
5050  0.000

#wave   y    
5150  0.000 
5175  0.022 
5200  0.053 
5225  0.082 
5250  0.116 
5275  0.194 
5300  0.274 
5325  0.393 
5350  0.579 
5375  0.782 
5400  0.928 
5425  0.985 
5450  0.999 
5475  1.000 
5500  0.997 
5525  0.938 
5550  0.789 
5575  0.574 
5600  0.388 
5625  0.232 
5650  0.143 
5675  0.090 
5700  0.054 
5725  0.031 
5750  0.016 
5775  0.010 
5800  0.009 
5825  0.004 
5850  0.000 
