# BCs for ATLAS9 + DUSTY99 + blackbody spectra:
#  n     Teff  logg        C        M       T1       T2        B        V        R        I
  88     2000  3.50  -10.293   -7.317   -4.814   -1.390   -8.988   -6.560   -4.012   -1.426
  89     2000  4.00  -11.058   -7.329   -4.701   -1.348   -9.225   -6.498   -3.943   -1.391
  90     2000  4.50  -11.525   -7.349   -4.613   -1.311   -9.359   -6.469   -3.889   -1.360
  91     2000  5.00  -11.924   -7.527   -4.638   -1.376   -9.601   -6.596   -3.943   -1.431
  92     2000  5.50  -12.266   -7.898   -4.797   -1.645  -10.021   -6.870   -4.152   -1.702
  93     2000  6.00  -11.925   -7.733   -4.604   -1.631   -9.819   -6.688   -4.043   -1.691
  94     2100  4.00   -9.895   -6.737   -4.454   -1.067   -8.418   -6.043   -3.667   -1.112
  95     2100  5.00  -10.872   -6.733   -4.223   -0.924   -8.661   -5.961   -3.500   -0.981
  96     2100  5.50  -11.628   -7.256   -4.464   -1.189   -9.267   -6.396   -3.768   -1.250
  97     2100  6.00  -11.787   -7.545   -4.541   -1.422   -9.570   -6.592   -3.931   -1.486
  98     2200  3.50   -8.021   -6.104   -4.220   -0.849   -7.300   -5.558   -3.415   -0.890
  99     2200  4.00   -8.774   -6.147   -4.161   -0.810   -7.619   -5.552   -3.373   -0.856
 100     2200  4.50   -9.563   -6.232   -4.136   -0.759   -7.915   -5.601   -3.344   -0.810
 101     2200  5.00  -10.207   -6.305   -4.053   -0.707   -8.132   -5.630   -3.287   -0.763
 102     2200  5.50  -10.828   -6.582   -4.115   -0.793   -8.484   -5.862   -3.380   -0.855
 103     2200  6.00  -11.046   -6.717   -4.078   -0.839   -8.621   -5.973   -3.416   -0.908
 104     2300  3.50   -7.194   -5.564   -3.850   -0.610   -6.618   -5.052   -3.087   -0.654
 105     2300  4.00   -7.865   -5.610   -3.817   -0.574   -6.928   -5.062   -3.058   -0.621
 106     2300  4.50   -8.675   -5.740   -3.858   -0.543   -7.284   -5.168   -3.071   -0.595
 107     2300  5.00   -9.482   -5.875   -3.837   -0.511   -7.601   -5.266   -3.053   -0.567
 108     2300  5.50  -10.117   -6.043   -3.842   -0.517   -7.860   -5.419   -3.077   -0.578
 109     2300  6.00  -10.402   -6.136   -3.769   -0.512   -7.973   -5.498   -3.069   -0.579
 110     2400  3.50   -6.530   -5.065   -3.441   -0.388   -6.035   -4.559   -2.745   -0.433
 111     2400  4.00   -7.094   -5.106   -3.434   -0.357   -6.305   -4.578   -2.729   -0.405
 112     2400  4.50   -7.826   -5.242   -3.519   -0.336   -6.655   -4.704   -2.771   -0.387
 113     2400  5.50   -9.333   -5.527   -3.550   -0.275   -7.256   -4.965   -2.776   -0.334
 114     2400  6.00   -9.880   -5.713   -3.545   -0.304   -7.496   -5.142   -2.818   -0.368
 115     2500  3.50   -6.055   -4.637   -3.042   -0.201   -5.582   -4.121   -2.423   -0.247
 116     2500  4.00   -6.485   -4.652   -3.037   -0.165   -5.779   -4.124   -2.405   -0.213
 117     2500  4.50   -7.119   -4.794   -3.166   -0.154   -6.104   -4.268   -2.476   -0.204
 118     2500  5.00   -7.848   -4.914   -3.206   -0.113   -6.417   -4.378   -2.481   -0.166
 119     2500  5.50   -8.635   -5.093   -3.260   -0.098   -6.745   -4.557   -2.509   -0.154
 120     2500  6.00   -9.252   -5.272   -3.280   -0.108   -6.997   -4.746   -2.548   -0.169
 121     2600  3.50   -5.672   -4.266   -2.685   -0.048   -5.201   -3.741   -2.139   -0.093
